time	CS_MetBox_Copper_Temp	
29.04.2018 01:41:29.749488	1123.2
29.04.2018 01:41:29.849488	1123.2
29.04.2018 01:41:29.949488	1123.2
29.04.2018 01:41:30.049488	1123.2
29.04.2018 01:41:30.149488	1123.2
29.04.2018 01:41:30.249488	1122.9
29.04.2018 01:41:30.349488	1122.9
29.04.2018 01:41:30.449488	1123.7
29.04.2018 01:41:30.549488	1123.3
29.04.2018 01:41:30.649488	1123.1
29.04.2018 01:41:30.749488	1123.1
29.04.2018 01:41:30.849488	1123.2
29.04.2018 01:41:30.949488	1123.1
29.04.2018 01:41:31.049488	1123.3
29.04.2018 01:41:31.149488	1123.3
29.04.2018 01:41:31.249488	1123.2
29.04.2018 01:41:31.349488	1123.2
29.04.2018 01:41:31.449488	1123.5
29.04.2018 01:41:31.549488	1123.4
29.04.2018 01:41:31.649488	1123.4
29.04.2018 01:41:31.749488	1123.6
29.04.2018 01:41:31.849488	1123.3
29.04.2018 01:41:31.949488	1123.3
29.04.2018 01:41:32.049488	1123.1
29.04.2018 01:41:32.149488	1123.1
29.04.2018 01:41:32.249488	1123.2
29.04.2018 01:41:32.349488	1123.1
29.04.2018 01:41:32.449488	1123.3
29.04.2018 01:41:32.549488	1122.9
29.04.2018 01:41:32.649488	1123.1
29.04.2018 01:41:32.749488	1124
29.04.2018 01:41:32.849488	1123.4
29.04.2018 01:41:32.949488	1123.4
29.04.2018 01:41:33.049488	1123.2
29.04.2018 01:41:33.149488	1123.1
29.04.2018 01:41:33.249488	1122.9
29.04.2018 01:41:33.349488	1123.2
29.04.2018 01:41:33.449488	1123.2
29.04.2018 01:41:33.549488	1123.1
29.04.2018 01:41:33.649488	1122.5
29.04.2018 01:41:33.749488	1122.2
29.04.2018 01:41:33.849488	1123.1
29.04.2018 01:41:33.949488	1123.1
29.04.2018 01:41:34.049488	1123.1
29.04.2018 01:41:34.149488	1123.1
29.04.2018 01:41:34.249488	1123.1
29.04.2018 01:41:34.349488	1123.2
29.04.2018 01:41:34.449488	1123.2
29.04.2018 01:41:34.549488	1123.2
29.04.2018 01:41:34.649488	1122.5
29.04.2018 01:41:34.749488	1123
29.04.2018 01:41:34.849488	1123.4
29.04.2018 01:41:34.949488	1122.4
29.04.2018 01:41:35.049488	1122.4
29.04.2018 01:41:35.149488	1123.3
29.04.2018 01:41:35.249488	1123.2
29.04.2018 01:41:35.349488	1123.3
29.04.2018 01:41:35.449488	1123.1
29.04.2018 01:41:35.549488	1123.1
29.04.2018 01:41:35.649488	1123.6
29.04.2018 01:41:35.749488	1123.6
29.04.2018 01:41:35.849488	1123.1
29.04.2018 01:41:35.949488	1123.1
29.04.2018 01:41:36.049488	1123
29.04.2018 01:41:36.149488	1123.1
29.04.2018 01:41:36.249488	1123.1
29.04.2018 01:41:36.349488	1123.1
29.04.2018 01:41:36.449488	1123.3
29.04.2018 01:41:36.549488	1123.3
29.04.2018 01:41:36.649488	1123.2
29.04.2018 01:41:36.749488	1123.2
29.04.2018 01:41:36.849488	1123.3
29.04.2018 01:41:36.949488	1123.3
29.04.2018 01:41:37.049488	1122.8
29.04.2018 01:41:37.149488	1122.8
29.04.2018 01:41:37.249488	1123.5
29.04.2018 01:41:37.349488	1123.1
29.04.2018 01:41:37.449488	1123.3
29.04.2018 01:41:37.549488	1123.2
29.04.2018 01:41:37.649488	1122.8
29.04.2018 01:41:37.749488	1123.1
29.04.2018 01:41:37.849488	1123.1
29.04.2018 01:41:37.949488	1122.7
29.04.2018 01:41:38.049488	1122.7
29.04.2018 01:41:38.149488	1123.2
29.04.2018 01:41:38.249488	1123.1
29.04.2018 01:41:38.349488	1123.1
29.04.2018 01:41:38.449488	1123.1
29.04.2018 01:41:38.549488	1123.2
29.04.2018 01:41:38.649488	1123.3
29.04.2018 01:41:38.749488	1123.3
29.04.2018 01:41:38.849488	1123.5
29.04.2018 01:41:38.949488	1122.6
29.04.2018 01:41:39.049488	1123.2
29.04.2018 01:41:39.149488	1122.3
29.04.2018 01:41:39.249488	1123
29.04.2018 01:41:39.349488	1123.2
29.04.2018 01:41:39.449488	1123.2
29.04.2018 01:41:39.549488	1123.2
29.04.2018 01:41:39.649488	1123.1
29.04.2018 01:41:39.749488	1123.1
29.04.2018 01:41:39.849488	1123.2
29.04.2018 01:41:39.949488	1123.3
29.04.2018 01:41:40.049488	1123.3
29.04.2018 01:41:40.149488	1123.1
29.04.2018 01:41:40.249488	1123.1
29.04.2018 01:41:40.349488	1123.1
29.04.2018 01:41:40.449488	1123.1
29.04.2018 01:41:40.549488	1123.3
29.04.2018 01:41:40.649488	1122.9
29.04.2018 01:41:40.749488	1123.2
29.04.2018 01:41:40.849488	1123.1
29.04.2018 01:41:40.949488	1123.2
29.04.2018 01:41:41.049488	1123.3
29.04.2018 01:41:41.149488	1123.3
29.04.2018 01:41:41.249488	1123.1
29.04.2018 01:41:41.349488	1123
29.04.2018 01:41:41.449488	1123
29.04.2018 01:41:41.549488	1123.4
29.04.2018 01:41:41.649488	1123.1
29.04.2018 01:41:41.749488	1123.2
29.04.2018 01:41:41.849488	1123.3
29.04.2018 01:41:41.949488	1123.1
29.04.2018 01:41:42.049488	1122.7
29.04.2018 01:41:42.149488	1123.1
29.04.2018 01:41:42.249488	1123.1
29.04.2018 01:41:42.349488	1123
29.04.2018 01:41:42.449488	1122.7
29.04.2018 01:41:42.549488	1123.1
29.04.2018 01:41:42.649488	1122.9
29.04.2018 01:41:42.749488	1123.2
29.04.2018 01:41:42.849488	1123.2
29.04.2018 01:41:42.949488	1123.3
29.04.2018 01:41:43.049488	1122.9
29.04.2018 01:41:43.149488	1122.9
29.04.2018 01:41:43.249488	1122.9
29.04.2018 01:41:43.349488	1123.3
29.04.2018 01:41:43.449488	1123.4
29.04.2018 01:41:43.549488	1123.5
29.04.2018 01:41:43.649488	1123.3
29.04.2018 01:41:43.749488	1123.1
29.04.2018 01:41:43.849488	1123.4
29.04.2018 01:41:43.949488	1123
29.04.2018 01:41:44.049488	1123.2
29.04.2018 01:41:44.149488	1123.2
29.04.2018 01:41:44.249488	1123.4
29.04.2018 01:41:44.349488	1123.4
29.04.2018 01:41:44.449488	1123.5
29.04.2018 01:41:44.549488	1122.8
29.04.2018 01:41:44.649488	1122.9
29.04.2018 01:41:44.749488	1123.2
29.04.2018 01:41:44.849488	1123.3
29.04.2018 01:41:44.949488	1123.1
29.04.2018 01:41:45.049488	1123.3
29.04.2018 01:41:45.149488	1123.1
29.04.2018 01:41:45.249488	1123.2
29.04.2018 01:41:45.349488	1123.2
29.04.2018 01:41:45.449488	1123.5
29.04.2018 01:41:45.549488	1123.2
29.04.2018 01:41:45.649488	1123.2
29.04.2018 01:41:45.749488	1123.1
29.04.2018 01:41:45.849488	1123.3
29.04.2018 01:41:45.949488	1123.3
29.04.2018 01:41:46.049488	1123.5
29.04.2018 01:41:46.149488	1122.9
29.04.2018 01:41:46.249488	1122.9
29.04.2018 01:41:46.349488	1123.9
29.04.2018 01:41:46.449488	1122.6
29.04.2018 01:41:46.549488	1122.6
29.04.2018 01:41:46.649488	1123.2
29.04.2018 01:41:46.749488	1123.3
29.04.2018 01:41:46.849488	1123.1
29.04.2018 01:41:46.949488	1123.3
29.04.2018 01:41:47.049488	1123.8
29.04.2018 01:41:47.149488	1123.4
29.04.2018 01:41:47.249488	1123.1
29.04.2018 01:41:47.349488	1123.1
29.04.2018 01:41:47.449488	1123.1
29.04.2018 01:41:47.549488	1123.5
29.04.2018 01:41:47.649488	1123.2
29.04.2018 01:41:47.749488	1123.2
29.04.2018 01:41:47.849488	1123
29.04.2018 01:41:47.949488	1123.2
29.04.2018 01:41:48.049488	1123.5
29.04.2018 01:41:48.149488	1123.2
29.04.2018 01:41:48.249488	1123
29.04.2018 01:41:48.349488	1123
29.04.2018 01:41:48.449488	1123.4
29.04.2018 01:41:48.549488	1123.4
29.04.2018 01:41:48.649488	1123
29.04.2018 01:41:48.749488	1123.2
29.04.2018 01:41:48.849488	1123.2
29.04.2018 01:41:48.949488	1123.2
29.04.2018 01:41:49.049488	1122.1
29.04.2018 01:41:49.149488	1123.1
29.04.2018 01:41:49.249488	1123.5
29.04.2018 01:41:49.349488	1123.2
29.04.2018 01:41:49.449488	1123.2
29.04.2018 01:41:49.549488	1123.4
29.04.2018 01:41:49.649488	1123
29.04.2018 01:41:49.749488	1123
29.04.2018 01:41:49.849488	1122.9
29.04.2018 01:41:49.949488	1123.1
29.04.2018 01:41:50.049488	1123.1
29.04.2018 01:41:50.149488	1122.8
29.04.2018 01:41:50.249488	1123.1
29.04.2018 01:41:50.349488	1123.4
29.04.2018 01:41:50.449488	1123.4
29.04.2018 01:41:50.549488	1123.1
29.04.2018 01:41:50.649488	1123.2
29.04.2018 01:41:50.749488	1123.1
29.04.2018 01:41:50.849488	1123.4
29.04.2018 01:41:50.949488	1123.3
29.04.2018 01:41:51.049488	1123.5
29.04.2018 01:41:51.149488	1123.8
29.04.2018 01:41:51.249488	1123.8
29.04.2018 01:41:51.349488	1123
29.04.2018 01:41:51.449488	1123.3
29.04.2018 01:41:51.549488	1123.6
29.04.2018 01:41:51.649488	1123
29.04.2018 01:41:51.749488	1123.1
29.04.2018 01:41:51.849488	1123
29.04.2018 01:41:51.949488	1123.4
29.04.2018 01:41:52.049488	1122.4
29.04.2018 01:41:52.149488	1123
29.04.2018 01:41:52.249488	1123
29.04.2018 01:41:52.349488	1123.1
29.04.2018 01:41:52.449488	1123.1
29.04.2018 01:41:52.549488	1123.1
29.04.2018 01:41:52.649488	1123.1
29.04.2018 01:41:52.749488	1123.2
29.04.2018 01:41:52.849488	1123.1
29.04.2018 01:41:52.949488	1123.7
29.04.2018 01:41:53.049488	1123.2
29.04.2018 01:41:53.149488	1123.8
29.04.2018 01:41:53.249488	1123
29.04.2018 01:41:53.349488	1123
29.04.2018 01:41:53.449488	1123.3
29.04.2018 01:41:53.549488	1123.3
29.04.2018 01:41:53.649488	1123.1
29.04.2018 01:41:53.749488	1123.2
29.04.2018 01:41:53.849488	1123.2
29.04.2018 01:41:53.949488	1123.5
29.04.2018 01:41:54.049488	1123.5
29.04.2018 01:41:54.149488	1123.4
29.04.2018 01:41:54.249488	1123.4
29.04.2018 01:41:54.349488	1122.8
29.04.2018 01:41:54.449488	1123
29.04.2018 01:41:54.549488	1123.3
29.04.2018 01:41:54.649488	1123.3
29.04.2018 01:41:54.749488	1123.3
29.04.2018 01:41:54.849488	1123.2
29.04.2018 01:41:54.949488	1123.2
29.04.2018 01:41:55.049488	1123.2
29.04.2018 01:41:55.149488	1123.2
29.04.2018 01:41:55.249488	1123.3
29.04.2018 01:41:55.349488	1123.2
29.04.2018 01:41:55.449488	1122.8
29.04.2018 01:41:55.549488	1123.2
29.04.2018 01:41:55.649488	1123
29.04.2018 01:41:55.749488	1123.2
29.04.2018 01:41:55.849488	1123.3
29.04.2018 01:41:55.949488	1123.4
29.04.2018 01:41:56.049488	1122.8
29.04.2018 01:41:56.149488	1122.8
29.04.2018 01:41:56.249488	1123.3
29.04.2018 01:41:56.349488	1123.3
29.04.2018 01:41:56.449488	1123.1
29.04.2018 01:41:56.549488	1123.2
29.04.2018 01:41:56.649488	1123.1
29.04.2018 01:41:56.749488	1123.2
29.04.2018 01:41:56.849488	1123.2
29.04.2018 01:41:56.949488	1122.9
29.04.2018 01:41:57.049488	1122.9
29.04.2018 01:41:57.149488	1123
29.04.2018 01:41:57.249488	1123.4
29.04.2018 01:41:57.349488	1122.9
29.04.2018 01:41:57.449488	1123.3
29.04.2018 01:41:57.549488	1123.4
29.04.2018 01:41:57.649488	1123
29.04.2018 01:41:57.749488	1123.2
29.04.2018 01:41:57.849488	1123.6
29.04.2018 01:41:57.949488	1123.5
29.04.2018 01:41:58.049488	1123
29.04.2018 01:41:58.149488	1123.7
29.04.2018 01:41:58.249488	1123.7
29.04.2018 01:41:58.349488	1123.4
29.04.2018 01:41:58.449488	1124
29.04.2018 01:41:58.549488	1123.4
29.04.2018 01:41:58.649488	1123.2
29.04.2018 01:41:58.749488	1123.4
29.04.2018 01:41:58.849488	1123.1
29.04.2018 01:41:58.949488	1122.1
29.04.2018 01:41:59.049488	1123.2
29.04.2018 01:41:59.149488	1123.2
29.04.2018 01:41:59.249488	1122.9
29.04.2018 01:41:59.349488	1123.3
29.04.2018 01:41:59.449488	1122.5
29.04.2018 01:41:59.549488	1123.1
29.04.2018 01:41:59.649488	1123.1
29.04.2018 01:41:59.749488	1123.2
29.04.2018 01:41:59.849488	1123.3
29.04.2018 01:41:59.949488	1123.2
29.04.2018 01:42:00.049488	1123.2
29.04.2018 01:42:00.149488	1123.2
29.04.2018 01:42:00.249488	1123
29.04.2018 01:42:00.349488	1123.1
29.04.2018 01:42:00.449488	1121.7
29.04.2018 01:42:00.549488	1123.2
29.04.2018 01:42:00.649488	1123.4
29.04.2018 01:42:00.749488	1122.4
29.04.2018 01:42:00.849488	1123.1
29.04.2018 01:42:00.949488	1123.1
29.04.2018 01:42:01.049488	1123.1
29.04.2018 01:42:01.149488	1123.1
29.04.2018 01:42:01.249488	1123.4
29.04.2018 01:42:01.349488	1123.2
29.04.2018 01:42:01.449488	1123.1
29.04.2018 01:42:01.549488	1123.2
29.04.2018 01:42:01.649488	1123
29.04.2018 01:42:01.749488	1123.9
29.04.2018 01:42:01.849488	1123.2
29.04.2018 01:42:01.949488	1122.5
29.04.2018 01:42:02.049488	1122.5
29.04.2018 01:42:02.149488	1122.8
29.04.2018 01:42:02.249488	1123
29.04.2018 01:42:02.349488	1123.3
29.04.2018 01:42:02.449488	1123.3
29.04.2018 01:42:02.549488	1123.1
29.04.2018 01:42:02.649488	1123.3
29.04.2018 01:42:02.749488	1123.4
29.04.2018 01:42:02.849488	1123.1
29.04.2018 01:42:02.949488	1123.1
29.04.2018 01:42:03.049488	1123
29.04.2018 01:42:03.149488	1123.5
29.04.2018 01:42:03.249488	1123.2
29.04.2018 01:42:03.349488	1123
29.04.2018 01:42:03.449488	1123
29.04.2018 01:42:03.549488	1123.2
29.04.2018 01:42:03.649488	1122.9
29.04.2018 01:42:03.749488	1122.8
29.04.2018 01:42:03.849488	1122.8
29.04.2018 01:42:03.949488	1123
29.04.2018 01:42:04.049488	1123
29.04.2018 01:42:04.149488	1123
29.04.2018 01:42:04.249488	1123
29.04.2018 01:42:04.349488	1123.2
29.04.2018 01:42:04.449488	1123
29.04.2018 01:42:04.549488	1123.1
29.04.2018 01:42:04.649488	1123.1
29.04.2018 01:42:04.749488	1123
29.04.2018 01:42:04.849488	1123
29.04.2018 01:42:04.949488	1123.2
29.04.2018 01:42:05.049488	1123.2
29.04.2018 01:42:05.149488	1123.5
